2023-6-11 15:25:51: 开始遍历文件
2023-6-11 15:25:51: 文件遍历已完成，已找到18个word文档
2023-6-11 15:26:18: 文档E:\初二地理生物会考资料—板块练习\地理\地理会考精选专项突破练习十五 认识省级行政区.doc已转换完成。(0/18)
2023-6-11 15:26:26: 文档E:\初二地理生物会考资料—板块练习\地理\地理会考精选专项突破练习十一 中国的自然资源.doc已转换完成。(1/18)
2023-6-11 15:26:33: 文档E:\初二地理生物会考资料—板块练习\地理\地理会考精选专项突破练习四 居民和聚落.doc已转换完成。(2/18)
2023-6-11 15:26:41: 文档E:\初二地理生物会考资料—板块练习\地理\地理会考精选专项突破练习五 发展与合作.doc已转换完成。(3/18)
2023-6-11 15:26:48: 文档E:\初二地理生物会考资料—板块练习\地理\地理会考精选专项突破练习一 地球和地图.doc已转换完成。(4/18)
2023-6-11 15:26:55: 文档E:\初二地理生物会考资料—板块练习\地理\地理会考精选专项突破练习八 认识国家.doc已转换完成。(5/18)
2023-6-11 15:27:2: 文档E:\初二地理生物会考资料—板块练习\地理\地理会考精选专项突破练习二 陆地与海洋.doc已转换完成。(6/18)
2023-6-11 15:27:9: 文档E:\初二地理生物会考资料—板块练习\地理\地理会考精选专项突破练习九 从世界看中国.doc已转换完成。(7/18)
2023-6-11 15:27:17: 文档E:\初二地理生物会考资料—板块练习\地理\地理会考精选专项突破练习六 我们生活的大洲——亚洲.doc已转换完成。(8/18)
2023-6-11 15:27:25: 文档E:\初二地理生物会考资料—板块练习\地理\地理会考精选专项突破练习七 认识区域.doc已转换完成。(9/18)
2023-6-11 15:27:33: 文档E:\初二地理生物会考资料—板块练习\地理\地理会考精选专项突破练习三 天气和气候.doc已转换完成。(10/18)
2023-6-11 15:27:42: 文档E:\初二地理生物会考资料—板块练习\地理\地理会考精选专项突破练习十 中国的自然环境.doc已转换完成。(11/18)
2023-6-11 15:27:50: 文档E:\初二地理生物会考资料—板块练习\地理\地理会考精选专项突破练习十二 中国的经济发展.doc已转换完成。(12/18)
2023-6-11 15:27:59: 文档E:\初二地理生物会考资料—板块练习\地理\地理会考精选专项突破练习十六 认识省内区域.doc已转换完成。(13/18)
2023-6-11 15:28:7: 文档E:\初二地理生物会考资料—板块练习\地理\地理会考精选专项突破练习十七 中国在世界中.doc已转换完成。(14/18)
2023-6-11 15:28:18: 文档E:\初二地理生物会考资料—板块练习\地理\地理会考精选专项突破练习十四 认识省际区域.doc已转换完成。(15/18)
2023-6-11 15:28:25: 文档E:\初二地理生物会考资料—板块练习\地理\地理会考精选专项突破练习十三 中国的地理差异.doc已转换完成。(16/18)
2023-6-11 15:28:29: 文档E:\初二地理生物会考资料—板块练习\地理\~$会考精选专项突破练习十七 中国在世界中.doc已转换完成。(17/18)
2023-6-11 15:28:29: 文档转换已完成
